wave	year	source_file	module	raw_variable	label	selected_value_coding	denominator_rule	missingness_rule	outcome	outcome_tier
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da010_7_s1	Take Chinese Traditional Medicine for Heart Problems	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_heart	primary_candidate
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da011s1	Take Chinese Traditional Medicine for Hypertension	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_hypertension	primary_candidate
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da010_9_s1	Take Chinese Traditional Medicine for Kidney Diease	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_kidney	primary_candidate
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da010_6_s1	Take Chinese Traditional Medicine for Liver Disease	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_liver	primary_candidate
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da010_12_s1	Take Chinese Traditional Medicine for Memory-Related Disease	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_memory	primary_candidate
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da019s4	Y/N Treat Stroke by Acupuncture and Moxibustion	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_stroke_acupuncture_moxibustion	primary_candidate
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da019s1	Y/N Treat Stroke by Take Chinese Traditional Medicine	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_stroke_chinese_medicine	primary_candidate
2	2013	data/raw/charls/downloads/harmonized/regular_waves/H_CHARLS_D_Data.dta	harmonized_charls	r2trdmed1m	r2trdmed1m:w2 r Chinese medicine hospital visit last month	0/1 harmonized indicator	Respondents with valid Harmonized CHARLS health-care response for wave	Keep missing as missing	strict_tcm_hospital_visit	strict_secondary
2	2013	data/raw/charls/downloads/harmonized/regular_waves/H_CHARLS_D_Data.dta	harmonized_charls	r2trdmdtim1m	r2trdmdtim1m:w2 r # Chinese medicine hospital visits last month	numeric count	Respondents with valid Harmonized CHARLS health-care response for wave	Keep missing as missing	strict_tcm_hospital_visit_count	strict_secondary
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_care_and_insurance.dta	health_care	ef001s3	LY Treat Yourself by Consumed Traditional Herbs/Medicines	multi-select item; non-missing/non-zero means selected	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_self_treatment_herbs_medicines	secondary_broader_raw
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_care_and_insurance.dta	health_care	ed004s3	Type of Medical Facility Have Visited? 3 Chinese Medicine Hospital	multi-select item; non-missing/non-zero means selected	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_tcm_hospital_visit	secondary_broader_raw
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_care_and_insurance.dta	health_care	ed021s7	Kind of Treatment  7 Traditional Treatment ,eg Massage, Acupuncture	multi-select item; non-missing/non-zero means selected	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_traditional_outpatient_treatment	secondary_broader_raw
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da010_13_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_arthritis	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da018s1	Taking Medications to Relieve Cancer Symptoms	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_cancer	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da010_5_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_chronic_lung	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da014s1	Treating or Controlling Diabetes with Medication	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_diabetes	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da010_10_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_digestive	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da010_2_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_dyslipidemia	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da010_7_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_heart	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da011s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_hypertension	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da010_9_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_kidney	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da010_6_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_liver	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da010_12_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_memory	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da019s4	Treatments for Stroke or Its Complications	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_stroke_acupuncture_moxibustion	primary_candidate
2	2013	data/raw/charls/downloads/wave2_2013/all_modules/health_status_and_functioning.dta	health_status	da019s1	Treatments for Stroke or Its Complications	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_stroke_chinese_medicine	primary_candidate
3	2015	data/raw/charls/downloads/harmonized/regular_waves/H_CHARLS_D_Data.dta	harmonized_charls	r3trdmed1m	r3trdmed1m:w3 r Chinese medicine hospital visit last month	0/1 harmonized indicator	Respondents with valid Harmonized CHARLS health-care response for wave	Keep missing as missing	strict_tcm_hospital_visit	strict_secondary
3	2015	data/raw/charls/downloads/harmonized/regular_waves/H_CHARLS_D_Data.dta	harmonized_charls	r3trdmdtim1m	r3trdmdtim1m:w3 r # Chinese medicine hospital visits last month	numeric count	Respondents with valid Harmonized CHARLS health-care response for wave	Keep missing as missing	strict_tcm_hospital_visit_count	strict_secondary
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_care_and_insurance.dta	health_care	ef001s3	Self-Treatment Used: Traditional Herbs or Traditional Medicine	multi-select item; non-missing/non-zero means selected	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_self_treatment_herbs_medicines	secondary_broader_raw
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_care_and_insurance.dta	health_care	ed004s3	Visited Facility in Past 4 Weeks for Outpatient: Chinese Medicine Hospital	multi-select item; non-missing/non-zero means selected	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_tcm_hospital_visit	secondary_broader_raw
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_care_and_insurance.dta	health_care	ed005_3_	Times Visited Facility in Past 4 Weeks for Outpatient: Chinese Medicine Hospital	numeric visit count where available	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_tcm_hospital_visit_count	secondary_broader_raw
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_care_and_insurance.dta	health_care	ee021s8	Treatment Received Last Inpatient Visit: Traditional Treatment, e.g. Massage, Ac	multi-select item; non-missing/non-zero means selected	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_traditional_inpatient_treatment	secondary_broader_raw
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_care_and_insurance.dta	health_care	ed021s7	Treatment Received at Last Outpatient Visit: Traditional Treatment, E.G. Massage	multi-select item; non-missing/non-zero means selected	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_traditional_outpatient_treatment	secondary_broader_raw
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da010_13_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_arthritis	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da018s1	Taking Medications to Relieve Cancer Symptoms	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_cancer	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da010_5_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_chronic_lung	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da014s1	Treating or Controlling Diabetes with Medication	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_diabetes	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da010_10_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_digestive	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da010_2_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_dyslipidemia	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da010_7_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_heart	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da011s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_hypertension	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da010_9_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_kidney	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da010_6_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_liver	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da010_12_s1	Taking Any Medication or Other Treatments	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_memory	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da019s4	Treatments for Stroke or Its Complications	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_stroke_acupuncture_moxibustion	primary_candidate
3	2015	data/raw/charls/downloads/wave3_2015/all_modules/health_status_and_functioning.dta	health_status	da019s1	Treatments for Stroke or Its Complications	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_stroke_chinese_medicine	primary_candidate
4	2018	data/raw/charls/downloads/harmonized/regular_waves/H_CHARLS_D_Data.dta	harmonized_charls	r4trdmed1m	r4trdmed1m:w4 r Chinese medicine hospital visit last month	0/1 harmonized indicator	Respondents with valid Harmonized CHARLS health-care response for wave	Keep missing as missing	strict_tcm_hospital_visit	strict_secondary
4	2018	data/raw/charls/downloads/harmonized/regular_waves/H_CHARLS_D_Data.dta	harmonized_charls	r4trdmdtim1m	r4trdmdtim1m:w4 r # Chinese medicine hospital visits last month	numeric count	Respondents with valid Harmonized CHARLS health-care response for wave	Keep missing as missing	strict_tcm_hospital_visit_count	strict_secondary
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_care_and_insurance.dta	health_care	ed004_w4_s3	Chinese Medicine Hospital	multi-select item; non-missing/non-zero means selected	2018 health-care module has incomplete comparable broader TCM components	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_tcm_hospital_visit	context_incomplete_2018
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da010_w4_13__s1	Treatments to Condition in DA007[1]	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_arthritis	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da018_w4_s1	Treatments for Cancer in the Past Two Years	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_cancer	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da010_w4_5__s1	Treatments to Condition in DA007[1]	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_chronic_lung	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da014_w4_s1	Taking Treatments for Diabetes	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_diabetes	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da010_w4_10__s1	Treatments to Condition in DA007[1]	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_digestive	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da010_w4_2__s1	Treatments to Condition in DA007[1]	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_dyslipidemia	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da010_w4_7__s1	Treatments to Condition in DA007[1]	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_heart	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da011_w4_s1	Treatments to Hypertension	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_hypertension	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da010_w4_9__s1	Treatments to Condition in DA007[1]	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_kidney	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da010_w4_6__s1	Treatments to Condition in DA007[1]	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_liver	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da010_w4_12__s1	Treatments to Condition in DA007[1]	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_memory	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da019_w4_s4	Treatments for Stroke	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_stroke_acupuncture_moxibustion	primary_candidate
4	2018	data/raw/charls/downloads/wave4_2018/all_modules/health_status_and_functioning.dta	health_status	da019_w4_s1	Treatments for Stroke	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_stroke_chinese_medicine	primary_candidate
