province	year	source_id	source_name	source_url	source_edition	table_id	table_title	source_pdf_page	extraction_status	quality_flag	resource_definition	denominator_population	denominator_unit	denominator_source_id	denominator_notes	value_total_health_institution_beds	value_hospital_beds	value_comprehensive_hospital_beds	value_per_10000_population_total_health_institution_beds	value_per_10000_population_hospital_beds	value_per_10000_population_comprehensive_hospital_beds	unit	notes
山东省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	96370000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	416148	280385	205041	43.18231814880149	29.094635259935664	21.27643457507523	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
河南省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	93880000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	349612	239793	177661	37.240306774605884	25.542501065189605	18.92426501917341	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
湖北省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	57580000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	223980	152062	114013	38.89892323723515	26.408822507815213	19.80079888850295	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
湖南省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	65960000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	257687	168428	113815	39.06716191631292	25.53486961795027	17.25515463917526	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
广东省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	105050000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	325038	246050	181693	30.941266063779153	23.42217991432651	17.29585911470728	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
广西壮族自治区	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	46450000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	152039	95752	66828	32.731754574811625	20.61399354144241	14.387082884822389	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
海南省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	8770000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	28465	21367	16845	32.45724059293045	24.363740022805015	19.207525655644243	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
重庆市	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	29190000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	115627	74827	52318	39.6118533744433	25.63446385748544	17.92326139088729	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
四川省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	80500000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	334663	211524	147052	41.57304347826087	26.276273291925463	18.267329192546583	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
贵州省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	34690000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	117534	78368	62005	33.881233784952435	22.590948400115305	17.87402709714615	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
云南省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	46310000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	173434	126318	95776	37.4506586050529	27.276614122219822	20.6814942776938	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
西藏自治区	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	3030000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	9592	6314	5280	31.65676567656766	20.83828382838284	17.425742574257427	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
陕西省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	37430000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	153847	114339	88081	41.10259150414106	30.547421854127705	23.532193427731766	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
甘肃省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	25640000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	94907	66661	50719	37.01521060842434	25.998829953198126	19.78120124804992	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
青海省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	5680000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	23117	18586	14123	40.69894366197183	32.72183098591549	24.86443661971831	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
宁夏回族自治区	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	6390000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	25805	22037	17738	40.38341158059468	34.4866979655712	27.758998435054774	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
新疆维吾尔自治区	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	22090000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	125391	97436	75164	56.7636939791761	44.10864644635581	34.02625622453599	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
北京市	2013	nhc_yearbook_2014_full_pdf	China Health Statistical Yearbook 2014	https://www.nhc.gov.cn/mohwsbwstjxxzx/c100228/201506/a2f73d0edf1d4e678eb5978af952a60f.shtml	2014	3-1-3	2013年各地区医疗卫生机构床位数	76	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	21150000	persons	natcm_2013_extract_a95	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	104011	96558	58592	49.17777777777778	45.65390070921986	27.703073286052007	beds	Official yearbook PDF page 76; 31 province rows and all three published national totals verified.
天津市	2013	nhc_yearbook_2014_full_pdf	China Health Statistical Yearbook 2014	https://www.nhc.gov.cn/mohwsbwstjxxzx/c100228/201506/a2f73d0edf1d4e678eb5978af952a60f.shtml	2014	3-1-3	2013年各地区医疗卫生机构床位数	76	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	14720000	persons	natcm_2013_extract_a95	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	57743	49071	27962	39.22758152173913	33.33627717391305	18.995923913043477	beds	Official yearbook PDF page 76; 31 province rows and all three published national totals verified.
河北省	2013	nhc_yearbook_2014_full_pdf	China Health Statistical Yearbook 2014	https://www.nhc.gov.cn/mohwsbwstjxxzx/c100228/201506/a2f73d0edf1d4e678eb5978af952a60f.shtml	2014	3-1-3	2013年各地区医疗卫生机构床位数	76	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	73330000	persons	natcm_2013_extract_a95	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	303497	220423	165288	41.38783581071867	30.059048138551752	22.540297286240286	beds	Official yearbook PDF page 76; 31 province rows and all three published national totals verified.
山西省	2013	nhc_yearbook_2014_full_pdf	China Health Statistical Yearbook 2014	https://www.nhc.gov.cn/mohwsbwstjxxzx/c100228/201506/a2f73d0edf1d4e678eb5978af952a60f.shtml	2014	3-1-3	2013年各地区医疗卫生机构床位数	76	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	36300000	persons	natcm_2013_extract_a95	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	172620	128294	88819	47.55371900826446	35.34269972451791	24.468044077134987	beds	Official yearbook PDF page 76; 31 province rows and all three published national totals verified.
内蒙古自治区	2013	nhc_yearbook_2014_full_pdf	China Health Statistical Yearbook 2014	https://www.nhc.gov.cn/mohwsbwstjxxzx/c100228/201506/a2f73d0edf1d4e678eb5978af952a60f.shtml	2014	3-1-3	2013年各地区医疗卫生机构床位数	76	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	24980000	persons	natcm_2013_extract_a95	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	120065	91604	66056	48.064451561249	36.670936749399516	26.4435548438751	beds	Official yearbook PDF page 76; 31 province rows and all three published national totals verified.
辽宁省	2013	nhc_yearbook_2014_full_pdf	China Health Statistical Yearbook 2014	https://www.nhc.gov.cn/mohwsbwstjxxzx/c100228/201506/a2f73d0edf1d4e678eb5978af952a60f.shtml	2014	3-1-3	2013年各地区医疗卫生机构床位数	76	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	43900000	persons	natcm_2013_extract_a95	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	241860	197453	136833	55.09339407744874	44.97790432801822	31.16924829157175	beds	Official yearbook PDF page 76; 31 province rows and all three published national totals verified.
吉林省	2013	nhc_yearbook_2014_full_pdf	China Health Statistical Yearbook 2014	https://www.nhc.gov.cn/mohwsbwstjxxzx/c100228/201506/a2f73d0edf1d4e678eb5978af952a60f.shtml	2014	3-1-3	2013年各地区医疗卫生机构床位数	76	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	27510000	persons	natcm_2013_extract_a95	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	133245	106342	74739	48.43511450381679	38.655761541257725	27.16793893129771	beds	Official yearbook PDF page 76; 31 province rows and all three published national totals verified.
